date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-04-12,29.6,22,38.8,0,,68,2.2,,1009,
2024-04-13,28.9,23.9,39,0,,134,6.3,,1008.3,
2024-04-14,26.7,23,32.5,0,,352,4.9,,1010.5,
2024-04-15,28.4,21.6,33.8,0,,329,3.5,,1010.3,
2024-04-16,28.6,23.9,33.6,0,,287,11.3,,1009.2,
2024-04-17,27.9,22.7,33.8,0,,289,15,,1007.6,
2024-04-18,29.7,24.2,35.8,0,,283,11.5,,1005.7,
2024-04-19,30.9,26,38,0,,273,7.7,,1003.5,
2024-04-20,30.3,24.4,36.6,0,,277,7.5,,1003.1,
2024-04-21,30,25,35.8,0,,288,8.6,,1004.5,
2024-04-22,29.8,23,37.6,0,,272,7,,1005.1,
2024-04-23,29.3,22.6,36.6,0,,297,5.8,,1004.8,
2024-04-24,29.1,20,36.6,0,,292,4.8,,1004.8,
2024-04-25,30,21.2,38.6,0,,284,6.7,,1004.9,
2024-04-26,30.7,22.4,39.6,0,,231,4.7,,1003.7,
2024-04-27,30.5,24,37.4,0,,273,6.2,,1004.6,
2024-04-28,30.3,23.5,38,0,,308,3.2,,1005.6,
2024-04-29,29.9,23.4,38,0,,323,5.7,,1005.2,
2024-04-30,29.4,23.6,35.4,0,,281,9.4,,1004.4,
2024-05-01,27.4,22.3,33.1,0,,283,10.7,,1002.6,
2024-05-02,27.8,20.2,35.2,0,,283,8.5,,1003.7,
2024-05-03,29.4,19.2,38,0,,271,7.3,,1004.3,
2024-05-04,30.7,23.2,39.8,0,,265,5.4,,1004.1,
2024-05-05,32.4,23.8,40.8,0,,287,5.5,,1000,
2024-05-06,32.7,25,40.2,0,,269,5.7,,1001.7,
2024-05-07,33.1,24.6,41.6,0,,84,4.1,,1003.3,
2024-05-08,32.1,28,37.8,0.3,,93,8.6,,1004.2,
2024-05-09,31.6,26.2,37.4,0,,84,10.5,,1004,
2024-05-10,32.6,28.1,38.4,0.6,,97,8.4,,1004.7,
2024-05-11,31.8,26,38.4,0,,82,5.9,,1006.5,
2024-05-12,32.2,26.2,38.6,0,,87,4.5,,1006.7,
